The Outreach Collective,,,,,,
High School Skill Building Programs Guide 2026  ·  For Indian Guidance Counsellors,,,,,,
TABLE OF CONTENTS  ·  Use this sheet to navigate the database  ·  Click any hyperlink below to jump to a section  ·  Last updated: May 2026,,,,,,
📊  AT A GLANCE,,,,,,
83,,46,,26,,11
Total Programs,,Indian University,,Orgs & Companies,,International
"17 domains  ·  13 program types  ·  In-Person, Online & Hybrid options  ·  Free to ₹6L+  ·  Grades 7–12  ·  India + 15 countries",,,,,,
📑  SECTION DIRECTORY — Click to jump to any sheet,,,,,,
🏛️  INDIAN UNIVERSITY PROGRAMS,,46 programs,,,,→ Go to sheet: '🏛️ Indian Universities'
Providers:  Ashoka · IIT Madras · IIT Delhi · ISRO · Plaksha · FLAME · Atlas SkillTech · Shiv Nadar · SP Jain · Symbiosis · KREA · Lodha Genius · Masters' Union · Jindal · BML Munjal · Amity · Atria · UCL India · Pearl Academy · Ecole Intuit Lab · Universal AI · and more,,,,,,
"Highlights:  ₹8,000 to ₹1,05,000  ·  5 to 30 days  ·  Residential & day options  ·  ISRO YUVIKA & Lodha Genius are fully funded  ·  Multiple batches available for most programs",,,,,,
🏢  ORGANISATIONAL & PRIVATE COMPANY PROGRAMS,,26 programs,,,,→ Go to sheet: '🏢 Orgs & Companies'
Providers:  Maker's Asylum · Big Red Education · Creya Learning · Innovation Story · EZScholar · StarterSky · FoundrEdu · OFLY Aviation · Mpower (Aditya Birla) · Youvah · Supros · Futurowise · Internshala · InvestIn · Lavonne · and more,,,,,,
"Highlights:  ₹9,000 to ₹6,00,000  ·  1 day to 8 months  ·  Multiple free options via internship platforms  ·  International locations (Boston, Thailand, Dubai, Italy, London)  ·  Many offer certificates & portfolio-building",,,,,,
🌍  INTERNATIONAL UNIVERSITY PROGRAMS,,11 programs,,,,→ Go to sheet: '🌍 International'
Providers:  Bocconi · Oxbridge Summer Scholars · Glion · Les Roches · NTU Singapore · SMU · SUTD (MIT partner) · SP Jain Singapore · Xavier USA · iDreamCareer + AUSA,,,,,,
"Highlights:  €2,700 to £6,350  ·  5 days to 2 weeks  ·  All residential  ·  Italy, UK, Switzerland, Singapore, Philippines, USA  ·  Some include accommodation & meals, some don't — check 'Key Details' column",,,,,,
📖  HOW TO USE THIS FILE,,,,,,
1. Navigate,,"Use the sheet tabs at the bottom, or click the '→ Go to sheet' links above to jump directly to a section.",,,,
2. Filter,,"Every program sheet has auto-filters enabled on row 2. Click any column header dropdown to filter by Domain, Mode, Location, Grade, Cost, etc.",,,,
3. Search,,"Use Ctrl+F (Cmd+F on Mac) to search for any keyword — program name, city, skill, provider — across the entire workbook.",,,,
4. Sort,,"Click any column header and use Data → Sort to rank programs by cost, duration, or alphabetically.",,,,
5. Compare,,"Use the Domain and Cost columns to quickly compare programs within a category. The 'Key Details' column has batch dates, inclusions/exclusions, and scholarship info.",,,,
6. Contact,,"The Contact Details column has coordinator names, phone numbers, and emails. Reach out directly for the latest availability and pricing.",,,,
🎨  DOMAIN COLOR LEGEND — Each program is color-tagged by domain in the program sheets,,,,,,
  ●  STEM,,  ●  Technology & AI,,  ●  Arts & Design,,  ●  Business & Management
  ●  Hospitality & Luxury,,  ●  Psychology,,  ●  Leadership,,  ●  Entrepreneurship
  ●  Research,,  ●  Interdisciplinary,,  ●  Social Impact,,  ●  Performing Arts
  ●  Aviation & Aerospace,,  ●  Data Science,,  ●  Life Skills,,  ●  Humanities
  ●  Health & Medicine,,,,,,
