INTERNATIONAL UNIVERSITY PROGRAMS  (11 programs),,,,,,,,,,,,
#,Provider,Program Name,Domain,Program Type,Mode,Location,Grades,Duration & Dates,Cost (INR unless noted),Contact Details,Website,Key Details & Notes
1.0,Bocconi University,Bocconi Summer School,Business & Management,Summer School,In-Person,"Milan, Italy",15+ yrs,2 weeks (Jul 6–17),"€2,700 (excl accommodation, meals, visa)",—,unibocconi.it,"17 lab choices, pick 2 (1 per week) · Deadline: Apr 9"
2.0,Singapore Mgmt University (SMU),BizPrep101,Business & Management,Pre-College,In-Person,Singapore,9–12,9 days (2 sessions),Incl housing & meals,—,uniprep101.com,Jun 15–23 & Jul 6–14 · Business concepts + problem solving · Certification
3.0,SUTD (MIT partner),StemPrep101,STEM,Pre-College,In-Person,Singapore,9–12,~9 days,Incl housing & meals,—,uniprep101.com,Science & tech immersion · MIT partnership · Deadline: Mar 15
4.0,Oxbridge Summer Scholars,Oxbridge Summer Scholars,Interdisciplinary,Summer School,In-Person,"Oxford & Cambridge, UK",16–19 yrs,2 weeks (5 sessions),"£6,350 (incl college accommodation, full board, tutoring, trips)",—,oxbridgesummerscholars.com,"Life as an Oxbridge student · Jul 5–18, Jul 12–25, Jul 19–Aug 1, Aug 2–15, Dec 7–19 · Excl: UK transport, pocket money"
5.0,Glion,Luxury Business Summer Program,Hospitality & Luxury,Summer School,In-Person,"Glion/Montreux, Switzerland",15–17 yrs,1 week (Jul 12–19),"CHF 3,370",—,glion.edu,Introduction to luxury industry · Taster for Bachelor's in Luxury Business
6.0,Glion,Hospitality Business Summer Programs,Hospitality & Luxury,Summer School,In-Person,"London, UK + Glion, Switzerland",15–17 yrs,1 or 2 weeks,"London: GBP 2,970 / Switzerland: CHF 3,370 / Combined 2-week: CHF 7,220",—,glion.edu,"London: Jul 19–26 | Switzerland: Jul 26–Aug 2 | Combined: Jul 19–Aug 2 · Multicultural, dynamic hospitality"
7.0,Les Roches,Hospitality Discovery Summer Program,Hospitality & Luxury,Summer School,In-Person,"Crans-Montana, Switzerland + Marbella, Spain",15–17 yrs,1 or 2 weeks,"Switzerland: CHF 3,570–6,980 / Spain: EUR 2,700–4,350",—,lesroches.edu,"5-star hotel visits, entrepreneurial skills · Switzerland: Jul 5–12/19 | Spain: Jul 12–19/26"
8.0,SP Jain Global,Singapore Summer Program — Business,Business & Management,Summer School,In-Person,Singapore,9–12,8 days (Jun 29 – Jul 6),"SGD 3,200 (incl accommodation, meals, visa, airport transfers · Excl: flights, insurance)",Pratik Acharya | 8655301682 | pratik.acharya@spjain.org,spjain.org,Global business environment · International faculty · Case studies
9.0,Xavier University,XU College Academy (Intl Student Immersion),Interdisciplinary,Pre-College,In-Person,Philippines (residential),HS Juniors/Seniors,2 weeks,"$3,800 (incl accommodation, meals, materials, activities)",9953083668 | sandeep.bhalla@xavier.edu,xavier.edu,"Academic English + tracks (cybersecurity, sustainability, business) + college app prep + US campus life"
10.0,NTU Singapore,GenAI Bootcamp: AI Skills for Digital Future,Technology & AI,Bootcamp,In-Person,Singapore,16+ yrs,5 days (2 runs),"S$3,106.50 (standard) / S$2,943 (group)",Vijay Krishnan Chandran | VijayKC@ntu.edu.sg,ntu.edu.sg,Jun 29–Jul 3 (deadline May 11) | Aug 3–7 (deadline Jun 15) · Excl accommodation
11.0,iDreamCareer + AUSA,Singapore Academic Program 2026,Interdisciplinary,Pre-College,In-Person,Singapore (residential),9–12,12 days (Jun 6–17),"₹2,95,000 incl GST (accommodation, meals, transfers, corporate visits, sightseeing incl)",Ms. Anupama Dixit | anupama.dixit@idreamcareer.com | 8146659316,ausa.io,Deadline: Apr 20
